program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Healthinsurance,Total Population Under Age 65,2019,272.611306,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2020,272.963227,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2021,273.392321,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2022,273.8118,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2023,274.217522,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2024,274.721256,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2025,275.181939,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2026,275.559702,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2027,276.011327,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2028,276.498465,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Total Population Under Age 65,2029,277.039089,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,true
Healthinsurance,Employment-Based Coverage,2019,158.85139498409808,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2020,158.73712594550565,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2021,158.37718269669773,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2022,158.2783405311059,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2023,158.06192240356282,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2024,157.96175281224535,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2025,157.73004508570904,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2026,157.8709114642673,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2027,157.8835394840483,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2028,158.10908725253248,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Employment-Based Coverage,2029,158.16963251905932,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2019,7.03,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2020,7.0,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2021,6.99,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2022,7.01,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2023,7.04,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2024,7.08,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2025,7.14,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2026,7.19,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2027,7.26,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2028,7.33,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Blind and Disabled,2029,7.4,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2019,29.84,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2020,29.59,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2021,29.7,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2022,29.92,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2023,30.07,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2024,30.14,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2025,30.18,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2026,30.2,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2027,30.22,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2028,30.25,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Children,2029,30.28,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Adults Made Eligible for Medicaid by the ACA,2019,11.96,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Adults Made Eligible for Medicaid by the ACA,2020,12.09,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Adults Made Eligible for Medicaid by the ACA,2021,12.39,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Adults Made Eligible for Medicaid by the ACA,2022,12.79,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
Healthinsurance,Adults Made Eligible for Medicaid by the ACA,2023,13.12,"Millions of People, by Calendar Year",51298-2020-09-healthinsurance.xlsx,Table 1-1,false
